SEWERAGE_SERVICE,TRADE WASTE
SEWERAGE_SERVICE,NON-DOMSEWER
SEWERAGE_SERVICE,NON RESIDENTIAL SEWER CHARGE AND USAGE
SEWERAGE_SERVICE,PRESSURE SEWER CHARGE
SEWERAGE_SERVICE,Wastewater (sewerage) service
SEWERAGE_SERVICE,Total Waste safe administration charge
SEWERAGE_SERVICE,Storm water drainag earea
SEWERAGE_SERVICE,storm water drainage charge
SEWERAGE_SERVICE,Metered Foul Sewerage
SEWERAGE_SERVICE,Assessed Sewerage
SEWERAGE_SERVICE,Sewer Customer Charge
SEWERAGE_SERVICE,SEWERAGE SERVICE
SEWERAGE_SERVICE,Sewerage non-residential
SEWERAGE_SERVICE,Drainage non-residential
SEWERAGE_SERVICE,Full Fixed Sewerage Charge
SEWERAGE_SERVICE,Sewerage vacant
SEWERAGE_SERVICE,WW MONTHLY CUSTOMER
SEWERAGE_SERVICE,Metered Potable Water Block Tariff
SEWERAGE_SERVICE,Metered Sewerage Supply Point
SEWERAGE_SERVICE,Highway Drainage
SEWERAGE_SERVICE,Surface Water Drainage
SEWERAGE_SERVICE,Waste Water Site Fixed Charge
SEWERAGE_SERVICE,Surface Water and Highway
SEWERAGE_SERVICE,Wastewater Commercial - Base Fee
SEWERAGE_SERVICE,Wastewater Billing Fee
SEWERAGE_SERVICE,Wastewater Basic Service Charge
SEWERAGE_SERVICE,Wastewater Base Charge
SEWERAGE_SERVICE,WASTEWATER BASE CHARGE
SEWERAGE_SERVICE,Wastewater - Category
SEWERAGE_SERVICE,SWR-COMM LOW USE
SEWERAGE_SERVICE,STRM WTR COMMERCIAL
SEWERAGE_SERVICE,Stormwater
SEWERAGE_SERVICE,Basic monthly service charge
SEWERAGE_SERVICE,Basic monthly
SEWERAGE_SERVICE,TCEQ-Sewer
SEWERAGE_SERVICE,Stormwater Non Residential
SEWERAGE_SERVICE,BASE CHARGE - SEWER
SEWERAGE_SERVICE,STORMWATER MGMT FEE
SEWERAGE_SERVICE,STORMWATER MANAGEMENT
SEWERAGE_SERVICE,SEWER MINIMUM CHARGE
SEWERAGE_SERVICE,STORMWATER QUALITY
SEWERAGE_SERVICE,WASTEWATER CUSTOMER CHARGE
SEWERAGE_SERVICE,STMWA COMM
SEWERAGE_LINE_ITEMS,Wastewater
SEWERAGE_LINE_ITEMS,Usage charges
SEWERAGE_LINE_ITEMS,SEWER VOLUME
SEWERAGE_LINE_ITEMS,Discharge
SEWERAGE_LINE_ITEMS,Recycled use
SEWERAGE_LINE_ITEMS,Pressure sewerage charge
SEWERAGE_LINE_ITEMS,Billable discharge
SEWERAGE_LINE_ITEMS,Wastewater Usage Charge
SEWERAGE_LINE_ITEMS,Wastewater Metered Commercial
SEWERAGE_LINE_ITEMS,Volumetric Waste
SEWERAGE_LINE_ITEMS,Volumetric Charge
SEWERAGE_LINE_ITEMS,USAGEPER
SEWERAGE_LINE_ITEMS,Strength Factor
SEWERAGE_LINE_ITEMS,TIPPING CLOACA
SEWERAGE_LINE_ITEMS,SW-SEWER
SEWERAGE_LINE_ITEMS,Sewer ??Consumption
SEWERAGE_LINE_ITEMS,Sewer Volumetric Charge
SEWERAGE_LINE_ITEMS,Sewer Use
SEWERAGE_LINE_ITEMS,Sewer Based On Water Use
SEWERAGE_LINE_ITEMS,Sewer Usage Charges
SEWERAGE_LINE_ITEMS,Sewer Usage Business
SEWERAGE_LINE_ITEMS,Liquid Trade Waste Compliant
SEWERAGE_LINE_ITEMS,Liquid Trade Waste Non Complia
SEWERAGE_LINE_ITEMS,Sewer Flow Charge
SEWERAGE_LINE_ITEMS,Sewer Consumption
SEWERAGE_LINE_ITEMS,SEWER COMMERCIAL
SEWERAGE_LINE_ITEMS,Sewer Commercial Usage
SEWERAGE_LINE_ITEMS,Sewer Commercial Class
SEWERAGE_LINE_ITEMS,Sewer Collection
SEWERAGE_LINE_ITEMS,Sewer Service for
SEWERAGE_LINE_ITEMS,Sewer - Based on AWC
SEWERAGE_LINE_ITEMS,Sewer - Tier
SEWERAGE_LINE_ITEMS,Sewer - Minimum Charge
SEWERAGE_LINE_ITEMS,SEWER - COMMERCIAL
SEWERAGE_LINE_ITEMS,"Sanitary charges, based on total water"
SEWERAGE_LINE_ITEMS,Wastewater treatment charges
SEWERAGE_LINE_ITEMS,North Olmsted Waste Water Charges
SEWERAGE_LINE_ITEMS,Non-metered
SEWERAGE_LINE_ITEMS,METERED SEWER COMMERCIAL
SEWERAGE_LINE_ITEMS,Com Sewer Charge
SEWERAGE_LINE_ITEMS,Consumption Component
SEWERAGE_LINE_ITEMS,gallons of sewer
SEWERAGE_LINE_ITEMS,Sewer - Commercial
SEWERAGE_LINE_ITEMS,SEWER COM INS
SEWERAGE_LINE_ITEMS,Sewer Restaurant Consumption Charge
SEWERAGE_LINE_ITEMS,Sewer Consumption Charge
ENERGY_SERVICE,Drinking water service charge 1 Jul 2023 - 1 Jul 2023
ENERGY_SERVICE,Drinking water service charge 2 Jun 2023 - 30 Jun 2023
ENERGY_LINE_ITEMS,Drinking water usage 1 Jul 2023 - 1 Jul 2023
ENERGY_LINE_ITEMS,Drinking water usage 2 Jun 2023 - 30 Jun 2023
SEWERAGE_SERVICE,Wastewater service charge (20mm) 1 Jul 2023 - 1 Jul 2023
SEWERAGE_SERVICE,Wastewater service charge (20mm) 2 Jun 2023 - 30 Jun 2023
SEWERAGE_LINE_ITEMS,Wastewater usage 1 Jul 2023 - 1 Jul 2023
SEWERAGE_LINE_ITEMS,Wastewater usage 2 Jun 2023 - 30 Jun 2023
ENERGY_SERVICE,Drinking water service charge (20mm)
ENERGY_LINE_ITEMS,Drinking water usage
SEWERAGE_SERVICE,Wastewater service charge (20mm)
SEWERAGE_LINE_ITEMS,Wastewater usage
EXTRA_CHARGES,Other charges/adjustments - 2023 Qld Energy Rebate Small Business
ENERGY_SERVICE,Drinking water service charge
ENERGY_LINE_ITEMS,Electricity
SEWERAGE_SERVICE,Wastewater service charge 1 Jul 2023 - 1 Jul 2023
EXTRA_CHARGES,Other charges/adjustments - 2025 Commonwealth Energy Rebate Agency Small Business
EXTRA_CHARGES,Other charges/adjustments - 2025 QLD COLR - Agency Small Business
EXTRA_CHARGES,2023 Qld Energy Rebate Small Business
NETWORK_LINE_ITEMS,1 X ANS security lighting - large X 1
OTHER_CHARGES,1 X ANS security lighting - medium X 1
ENERGY_LINE_ITEMS,Electricity Usage - 1 Jul 2025 - 28 Jul 2025
ENERGY_LINE_ITEMS,Electricity Usage - 27 Jun 2025 - 30 Jun 2025
ENERGY_SERVICE,Service Fee - 1 Jul 2025 - 28 Jul 2025
ENERGY_SERVICE,Service Fee - 27 Jun 2025 - 30 Jun 2025
EXTRA_CHARGES,Cancelled Oct-2024 to Nov-2024 Electricity Bill
ENERGY_LINE_ITEMS,Electricity usage
EXTRA_CHARGES,Oct-2024 to Nov-2024 Electricity Bill
ENERGY_LINE_ITEMS,Energy Charges [ET07] - EC01 Peak Energy
ENERGY_LINE_ITEMS,Energy Charges [ET07] - EC02 Shoulder Energy
ENERGY_LINE_ITEMS,Energy Charges [ET07] - EC03 Off-Peak Energy
CERTIFICATES,Environmental Charges - ESS Certificates (10.5%)
CERTIFICATES,Environmental Charges - LRET Certificate - Mandatory (17.91%)
CERTIFICATES,Environmental Charges - LRET Certificate - Voluntary (82.09%)
CERTIFICATES,Environmental Charges - SRET Certificates (13.89%)
MARKET,Market Charges - Ancillary Fees
MARKET,Market Charges - Pool Charges Fixed
MARKET,Market Charges - Pool Charges Variable
METERING,Network Charges: Ausgrid [EA225: < 60 MWh p/a] - Metering Service Charge
NETWORK_SERVICE,Network Charges: Ausgrid [EA225: < 60 MWh p/a] - Network Access Charge
NETWORK_LINE_ITEMS,Network Charges: Ausgrid [EA225: < 60 MWh p/a] - Network Off-Peak
NETWORK_LINE_ITEMS,Network Charges: Ausgrid [EA225: < 60 MWh p/a] - Network Peak_Winter (Jun - Aug)
ENERGY_OTHER,Excess Gas Charge Surcharge on 18.22GJ @ weighted average premium of $11.15
ENERGY_SERVICE,Commercial Daily Tariff
ENERGY_LINE_ITEMS,Natural Gas Commercial Tariff - 10% Discount
MARKET,Other Transactions - Ancillary Spot Charges on 11304.22 GJ's @ $3
PAYMENT_APPLIED,Payments Received - Receipt 179789 02/04/2024
ENERGY_SERVICE,Commercial Daily Tariff (29/01/2024 - 27/02/2024)
ENERGY_LINE_ITEMS,Natural Gas Commercial Tariff (29/01/2024 - 27/02/2024)
PAYMENT_APPLIED,Receipt BPAY 27/02/2024
ENERGY_SERVICE,Commercial Daily Tariff (31/01/2024 - 29/02/2024)
ENERGY_LINE_ITEMS,Natural Gas Commercial Tariff (31/01/2024 - 29/02/2024)
EXTRA_CHARGES,Other charges/adjustments - Late Payment Fee
ENERGY_LINE_ITEMS,Usage and service charges - Air Conditioning Flat Tariff
ENERGY_SERVICE,Commercial Daily Tariff (30/07/2024 - 29/08/2024)
ENERGY_LINE_ITEMS,Natural Gas Commercial Tariff (30/07/2024 - 29/08/2024)
PAYMENT_APPLIED,Payments Received - Receipt 210446 22/08/2024
ENERGY_LINE_ITEMS,Energy Charges - Step 1 - First 1650 kWh per day
ENERGY_LINE_ITEMS,Energy Charges - Step 2 - Remaining usage
ENERGY_SERVICE,Commercial Daily Tariff (30/01/2024 - 28/02/2024)
ENERGY_LINE_ITEMS,Natural Gas Commercial Tariff (30/01/2024 - 28/02/2024)
PAYMENT_APPLIED,Receipt 211432 27/08/2024
PAYMENT_APPLIED,Receipt BPAY 26/08/2024
ENERGY_SERVICE,Commercial Daily Tariff (01/08/2024 - 30/08/2024)
ENERGY_LINE_ITEMS,Natural Gas Commercial Tariff (01/08/2024 - 30/08/2024)
ENERGY_SERVICE,Commercial Daily Tariff (30/11/2023 - 31/12/2023)
ENERGY_SERVICE,Commercial Daily Tariff (31/12/2023 - 02/01/2024)
ENERGY_LINE_ITEMS,Natural Gas Commercial Tariff - 10% Discount (30/11/2023 - 31/12/2023)
ENERGY_LINE_ITEMS,Natural Gas Commercial Tariff - 10% Discount (31/12/2023 - 02/01/2024)
PAYMENT_APPLIED,Receipt BPAY 22/12/2023
ENERGY_LINE_ITEMS,Natural Gas Commercial Tariff - 10% Discount (31/01/2024 - 29/02/2024)
ENERGY_SERVICE,Daily Supply Charges
PAYMENT_APPLIED,Other charges/adjustments - Balance transfer
ENERGY_LINE_ITEMS,FIRE VOLUME
OTHER_CHARGES,OWNERSHIP CHANGE
SEWERAGE_LINE_ITEMS,SEWER VOLUME
ENERGY_SERVICE,NOT FOR PROFIT REBATE
ENERGY_OTHER,TRADE WASTE VOLUME
ENERGY_SERVICE,FIRE SERVICE CHARGE
ENERGY_OTHER,SULPHUR TRADE WASTE QUALITY CHARGE
ENERGY_OTHER,TKN TRADE WASTE QUALITY CHARGE
OTHER_CHARGES,REFUND E179560
PAYMENT_APPLIED,Payments received
PAYMENT_APPLIED,Payment Received 17/02/2025 (thank you)
PAYMENT_APPLIED,Payment Received 17/03/2025 (thank you)
PAYMENT_APPLIED,Transfer Decrease Cust Balance
PAYMENT_APPLIED,Transfer Increase Cust Balance
ENERGY_OTHER,N/WATCH LARGE (MH400) FH3A
ENERGY_OTHER,Itemised Details - N/WATCH LARGE (MH400) FH3A
ENERGY_OTHER,N/WATCH LARGE (L150+) FL4A
ENERGY_OTHER,Itemised Details - N/WATCH LARGE (L150+) FL4A
ENERGY_OTHER,N/WATCH LARGE (S400) FS3A
ENERGY_OTHER,Itemised Details - N/WATCH LARGE (S400) FS3A
ENERGY_OTHER,N/WATCH X-LARGE (L300+) FL5A
ENERGY_OTHER,Itemised Details - N/WATCH X-LARGE (L300+) FL5A
ENERGY_OTHER,N/WATCH X-LARGE (MH1000) FH4A
ENERGY_OTHER,Itemised Details - N/WATCH X-LARGE (MH1000) FH4A
ENERGY_OTHER,Nightwatch Rental X-Large 1000W MH
ENERGY_OTHER,Nightwatch Large (MH400) - FH3A
ENERGY_OTHER,TARIFF CLASS 1 - LEGACY - Capital provided by Endeavour Energy - Legacy - Minor Bracket
ENERGY_OTHER,TARIFF CLASS 4 - ANNUITY - Capital NOT provided by Endeavour Energy - 13W LED STREETLED3 STD Visor
ENERGY_OTHER,N/WATCH MEDIUM (S250) FS2A
ENERGY_OTHER,Nightwatch Rental Large - FH3A
ENERGY_OTHER,Nightwatch Rental Medium - FS2A
ENERGY_LINE_ITEMS,All Energy Usage in kWh
ENERGY_SERVICE,Daily Service Fee
METERING,Meter Services Charge
OTHER_CHARGES,Point Of Attachment Relocation - Multi Phase
OTHER_CHARGES,Grid Power Charges - Australian Government Energy Bill Relief
ENERGY_LINE_ITEMS,Grid Power Charges - Grid Consumption in kWh
ENERGY_SOLAR,Grid Power Charges - Solar Consumption in kWh
ENERGY_SOLAR,Solar Consumed
ENERGY_SOLAR,Solar Export
DEMANDS,Grid Power Charges - Demand in kW
OTHER_CHARGES,Please refer to the account summary attached for consumption details
DEMANDS,Demand Charge
ENERGY_LINE_ITEMS,Grid Usage in kWh
ENERGY_LINE_ITEMS,Off-Peak Tariff
ENERGY_LINE_ITEMS,Peak Tariff
ENERGY_LINE_ITEMS,Shoulder Tariff
ENERGY_LINE_ITEMS,Business Energy_Flat Rate
ENERGY_LINE_ITEMS,"Energy Charges: 2025/2026 - Block 1 (Up to 1,650 kWh)"
ENERGY_LINE_ITEMS,"Energy Charges: 2025/2026 - Block 2 (> 1,650 kWh)"
ENERGY_SERVICE,Energy Charges: 2025/2026 - Daily Supply Charge
CERTIFICATES,Environmental Charges - Environmental ESC
CERTIFICATES,Environmental Charges - Environmental LGC
CERTIFICATES,Environmental Charges - Environmental STC
NETWORK_SERVICE,Network Charges: Ausgrid Large Business [LV 160-750 MWh] - Network Access Charge
CAPACITIES,Network Charges: Ausgrid Large Business [LV 160-750 MWh] - Network Capacity Charge (Rolling 12
NETWORK_LINE_ITEMS,Network Charges: Ausgrid Large Business [LV 160-750 MWh] - Network Off-Peak
NETWORK_LINE_ITEMS,Network Charges: Ausgrid Large Business [LV 160-750 MWh] - Network Peak_Winter (Jun - Aug)
ENERGY_LINE_ITEMS,Retail Charges - Retail_TOU_Off-Peak
ENERGY_LINE_ITEMS,Retail Charges - Retail_TOU_Peak
ENERGY_LINE_ITEMS,Retail Charges - Retail_TOU_Shoulder
ENERGY_LINE_ITEMS,Usage and service charges - Business Energy_Flat Rate
ENERGY_SERVICE,Usage and service charges - Daily Supply Charge
EXTRA_CHARGES,Balance brought forward 30-04-2024
ENERGY_SERVICE,Network Charge: Ausnet [NEE12] - NEE12 Metering Charge
ENERGY_LINE_ITEMS,Network Charge: Ausnet [NEE12] - NEE12 Small Single Rate_Block 1
ENERGY_LINE_ITEMS,Network Charge: Ausnet [NEE12] - NEE12 Small Single Rate_Block 2
ENERGY_LINE_ITEMS,Anytime Usage 7 days a week: 24 hours a day including public holidays
DISCOUNTS,Guaranteed Discount 15% (including GST)
ENERGY_LINE_ITEMS,"7 days a week: Midnight to 7:00am, 10:00pm to Midnight including public holidays."
DISCOUNTS,Guaranteed Discount 4% (including GST)
ENERGY_LINE_ITEMS,Mon-Fri: 7:00am to 10:00pm including public holidays
ENERGY_LINE_ITEMS,Off Peak Usage (94)
ENERGY_LINE_ITEMS,Peak Usage (94)
ENERGY_LINE_ITEMS,Sat-Sun: 7:00am to 10:00pm
ENERGY_LINE_ITEMS,Shoulder Usage (94)
ENERGY_SERVICE,Daily Supply Charge 7 Days a Week: 24 Hours a Day
ENERGY_LINE_ITEMS,General Usage (22) - Step 1 7 Days a Week: 24 Hours a Day
ENERGY_LINE_ITEMS,General Usage (22) - Step 2 7 Days a Week: 24 Hours a Day
CAPACITIES,Capacity Charge Mon-Fri: 2:00pm to 8:00pm
ENERGY_LINE_ITEMS,"Off Peak Usage Mon-Fri: Midnight to 7:00am, 10:00pm to Midnight Weekends: 24 Hours a Day including public holidays"
ENERGY_LINE_ITEMS,Peak Usage Mon-Fri: 2:00pm to 8:00pm
ENERGY_LINE_ITEMS,"Shoulder Usage Mon-Fri: 7:00am to 2:00pm, 8:00pm to 10:00pm"
ENERGY_LINE_ITEMS,7 days a week: 24 hours a day including public holidays
ENERGY_LINE_ITEMS,General Usage (22) - Step 1
ENERGY_LINE_ITEMS,General Usage (22) - Step 2
DISCOUNTS,Guaranteed Discount 7% (including GST)
ENERGY_SERVICE,Standard All Day Register
ENERGY_LINE_ITEMS,Heating & Hot Water (41) 7 Days a Week: 24 Hours a Day including public holidays
ENERGY_LINE_ITEMS,Light & Power Usage (31) 7 Days a Week: 24 Hours a Day including public holidays
ENERGY_LINE_ITEMS,"Mon-Fri: 7:00am to 10:00am, 4:00pm to 9:00pm"
ENERGY_LINE_ITEMS,"Mon-Fri: Midnight to 7:00am, 10:00am to 4:00pm, 9:00pm to Midnight Weekends: 24 Hours a Day"
ENERGY_LINE_ITEMS,Peak Usage (93)
DISCOUNTS,PoT Discount 5% (including GST)
EXTRA_CHARGES,$50 Rebate (month 12)
ENERGY_LINE_ITEMS,Light & Power Usage (31)
ENERGY_LINE_ITEMS,"Off-Peak, Afternoon Boost (61)"
EXTRA_CHARGES,Aus Gov Energy Relief
ENERGY_LINE_ITEMS,General Usage (22) 7 days a week: 24 hours a day including public holidays
DEMANDS,NETWORK - Off Peak Demand Charge
DEMANDS,NETWORK - Peak Demand Charge
ENERGY_SERVICE,RETAIL - Daily Supply Charge
ENERGY_LINE_ITEMS,RETAIL - Off Peak Usage
ENERGY_LINE_ITEMS,RETAIL - Peak Usage
ENERGY_SOLAR,RETAIL - Solar Feed-in
ENERGY_LINE_ITEMS,Average Off Peak Cost Per Day
ENERGY_LINE_ITEMS,Average Peak Cost Per Day
DISCOUNTS,PoT Discount 5%
ENERGY_LINE_ITEMS,RETAIL - Light & Power Usage
ENERGY_LINE_ITEMS,Heating & Hot Water (41)
ENERGY_LINE_ITEMS,RETAIL - Light & Power Usage (31)
ENERGY_LINE_ITEMS,RETAIL - Heating & Hot Water (41)
DISCOUNTS,Guaranteed Discount 7%
DISCOUNTS,PoT Discount 3%
ENERGY_LINE_ITEMS,Off Peak Usage (93)
ENERGY_LINE_ITEMS,RETAIL - Peak Usage (93)
ENERGY_LINE_ITEMS,RETAIL - Off Peak Usage (93)
DISCOUNTS,Usage & Supply - 10% Guaranteed Discount
ENERGY_SERVICE,Usage & Supply - Daily Supply Charge
ENERGY_LINE_ITEMS,Usage & Supply - Off Peak Usage
ENERGY_LINE_ITEMS,Usage & Supply - Peak Usage
ENERGY_LINE_ITEMS,Usage & Supply - Shoulder Usage
CAPACITIES,NETWORK - Capacity Charge
ENERGY_LINE_ITEMS,RETAIL - Shoulder Usage
ENERGY_OTHER,Average Cost Per Day
ENERGY_LINE_ITEMS,Average Shoulder Cost Per Day
DISCOUNTS,Guaranteed Discount 4%
ENERGY_LINE_ITEMS,RETAIL - Off Peak Usage (94)
ENERGY_LINE_ITEMS,RETAIL - Peak Usage (94)
ENERGY_LINE_ITEMS,RETAIL - Shoulder Usage (94)
ENERGY_SOLAR,Solar Feed-in
SEWERAGE_SERVICE,Water and Sewerage Charges - Sewerage Access - 100mm
SEWERAGE_SERVICE,Water and Sewerage Charges - Sewerage Access - 25mm
SEWERAGE_LINE_ITEMS,Water and Sewerage Charges - Sewerage Usage
ENERGY_OTHER,Water and Sewerage Charges - State Govt Bulk Water
ENERGY_SERVICE,Water and Sewerage Charges - Water Access 100mm
ENERGY_SERVICE,Water and Sewerage Charges - Water Access 25mm
ENERGY_LINE_ITEMS,Water and Sewerage Charges - Water Usage
SEWERAGE_SERVICE,Water and Sewerage Charges - Sewerage Access
ENERGY_SERVICE,Water and Sewerage Charges - Water Access 20mm
SEWERAGE_SERVICE,Water and Sewerage Charges - Sewerage Access - 40mm
ENERGY_SERVICE,Water and Sewerage Charges - Water Access 40mm
ENERGY_SERVICE,Trade Waste Permit Fee - Treatment Tier Low
ENERGY_SERVICE,Trade Waste Permit Fee - Treatment Tier Medium
SEWERAGE_SERVICE,Fixed Access Charges - Sewerage Access
ENERGY_SERVICE,Fixed Access Charges - Water Access
ENERGY_SERVICE,Trade waste charges - Trade Waste Permit Fee - Treatment Tier High
OTHER_CHARGES,MARKET CHARGES - Participant Fixed Fee - $0.0255/day
MARKET,MARKET CHARGES - R2 Market Charges - Aug 24
OTHER_CHARGES,MARKET CHARGES - UFE Charges - Apr 25
DEMANDS,NETWORK CHARGES (EBTDEMCT1) - DUoS Actual Demand Charge
NETWORK_SERVICE,NETWORK CHARGES (EBTDEMCT1) - DUoS Fixed Charge
NETWORK_LINE_ITEMS,NETWORK CHARGES (EBTDEMCT1) - DUoS Volume Charge
NETWORK_SERVICE,NETWORK CHARGES (EBTDEMCT1) - Jurisdictional Scheme Fixed Charge
NETWORK_LINE_ITEMS,NETWORK CHARGES (EBTDEMCT1) - Jurisdictional Scheme Volume Charge
DEMANDS,NETWORK CHARGES (EBTDEMCT1) - TUoS Actual Demand Charge
NETWORK_SERVICE,NETWORK CHARGES (EBTDEMCT1) - TUoS Fixed Charge
NETWORK_LINE_ITEMS,NETWORK CHARGES (EBTDEMCT1) - TUoS Volume Charge
DEMANDS,Network Charges - DUoS Excess Demand Charge
NETWORK_LINE_ITEMS,Network Charges - DUoS Flat Energy
NETWORK_SERVICE,Network Charges - DUoS Network Access Charge
DEMANDS,Network Charges - TUoS Excess Demand Charge
NETWORK_LINE_ITEMS,Network Charges - TUoS Flat Energy
NETWORK_SERVICE,Network Charges - TUoS Network Access Charge
DEMANDS,Network Charges - TUoS Peak Demand Charge
CERTIFICATES,Environmental Charges - ESS Certificate Charge (10.50%)
CAPACITIES,Network Charges - Capacity kVA
NETWORK_LINE_ITEMS,Network Charges - Off-Peak Energy
ENERGY_LINE_ITEMS,All Day Usage
EXTRA_CHARGES,NSW-AUS Gov Bill Relief
SEWERAGE_SERVICE,Wastewater - Fixed W8741670 - Low
SEWERAGE_LINE_ITEMS,Wastewater - Volumetric W8741670 - Low
ENERGY_LINE_ITEMS,Water - Volumetric
SEWERAGE_SERVICE,Fixed X15A658020 - Moderate
ENERGY_LINE_ITEMS,Volumetric
SEWERAGE_LINE_ITEMS,Volumetric X15A658020 - Moderate
OTHER_CHARGES,Other transactions - Leak allowance
SEWERAGE_LINE_ITEMS,Wastewater - X14A028740 - Moderate
SEWERAGE_LINE_ITEMS,Volumetric - Low
SEWERAGE_SERVICE,X19A680677 - Low
SEWERAGE_SERVICE,Fixed N07A160648 - Low
SEWERAGE_SERVICE,Fixed N08A678511 - Low
SEWERAGE_LINE_ITEMS,Volumetric N07A160648 - Low
SEWERAGE_LINE_ITEMS,Volumetric N08A678511 - Low
SEWERAGE_SERVICE,Fixed - A09H300015 - Moderate
SEWERAGE_SERVICE,Fixed - A11A649499 - Low
OTHER_CHARGES,Other transactions - Adjustment
SEWERAGE_LINE_ITEMS,Wastewater - A11A649499 - Low
SEWERAGE_LINE_ITEMS,Wastewater - Volumetric - Moderate
SEWERAGE_SERVICE,Wastewater
SEWERAGE_SERVICE,WASTEWATER ACCESS
ENERGY_LINE_ITEMS,Water Volume Charge
ENERGY_OTHER,WASTEWATER VOLUME - Wastewater Volume
ENERGY_SERVICE,WATER SERVICE CHARGE - Water Service Charge
ENERGY_LINE_ITEMS,WATER VOLUME - Step 1 32.4667 kl
ENERGY_LINE_ITEMS,USAGE CALCULATION - Step 1
ENERGY_OTHER,WASTEWATER VOLUME
ENERGY_LINE_ITEMS,WATER VOLUME - Step 1 0.0847 kl
ENERGY_LINE_ITEMS,Water Volume
EXTRA_CHARGES,Less Concession
ENERGY_SERVICE,Water Availability Connected
ENERGY_SERVICE,Wastewater Access Not Connected
ENERGY_SERVICE,Water Availability Not Connected
ENERGY_LINE_ITEMS,WATER VOLUME - Step 1 0.0085 kl
ENERGY_LINE_ITEMS,Water Volume - Step 1 0.3034 kl x 31 = 9.4045 kl @ $2.2919/kl
ENERGY_LINE_ITEMS,Water Volume - Step 1 0.3034 kl x 58 = 17.5955 kl @ $2.3384/kl
ENERGY_LINE_ITEMS,All Day Usage
PAYMENT_APPLIED,Transfer Increase Cust Balance
MARKET,Market Charges - Unaccounted For Energy (UFE) N
METERING,Metering & Other Charges - Metering (Oct 2024)
DEMANDS,Network Charges - High Season Demand
METERING,Network Charges - Metering Service Charge
CERTIFICATES,Environmental Charges - Energy Efficiency Obligation ACT
DEMANDS,Network Charges - Max Demand
NETWORK_LINE_ITEMS,Network Charges - Volume
MARKET,Market Charges - Unaccounted For Energy April 2025
METERING,Metering & Other Charges - Metering (Mar 2025)
NETWORK_LINE_ITEMS,Network Charges - DPPC Common Service
ENERGY_LINE_ITEMS,Network Charges - DPPC General Charge
DEMANDS,Network Charges - DPPC Locational Charge
CAPACITIES,Network Charges - DUOS Capacity
MARKET,Market Charges - Unaccounted For Energy (UFE) June 2023
NETWORK_LINE_ITEMS,Network Charges - DPPC Volume Off Peak
NETWORK_LINE_ITEMS,Network Charges - DPPC Volume Peak
NETWORK_LINE_ITEMS,Network Charges - DUOS Volume Off Peak
NETWORK_LINE_ITEMS,Network Charges - DUOS Volume Peak
NETWORK_LINE_ITEMS,Network Charges - Energy Prices - Shoulder
ENERGY_OTHER,Market Charges - REV2 UFE
MARKET,Market Charges - Unaccounted For Energy (UFE) October 2023
METERING,Metering & Other Charges - Metering (Sep 2023)
MARKET,Market Charges - Unaccounted For Energy (UFE)
ENERGY_OTHER,Environmental Charges - Peak Reduction Demand Scheme
SEWERAGE_SERVICE,Fixed Access Charges - Sewerage Access - 40mm
ENERGY_SERVICE,Fixed Access Charges - Water Access 40mm
SEWERAGE_LINE_ITEMS,Sewerage Usage - Sewerage Usage
ENERGY_OTHER,Water Usage - State Govt Bulk Water
ENERGY_LINE_ITEMS,Energy - Electricity Consumption Charge
ENERGY_SERVICE,Energy - Electricity Supply Charge
DEMANDS,Network - Network Demand
NETWORK_OTHER,Network - Network Volume
OTHER_CHARGES,Please refer to the account summary attached for consumption details
ENERGY_SERVICE,Account Level Charges - Supply Charge
EXTRA_CHARGES,Electricity Charge - Adjustment to Reflect FY26 Charges on FY25 Rates
ENERGY_LINE_ITEMS,Electricity Charges - Step 1 Charge
ENERGY_LINE_ITEMS,Electricity Charges - Flat Charge
EXTRA_CHARGES,Adjustment to Reflect FY26 Charges on FY25 Rates
NETWORK_SERVICE,Account Level Charges - Network Supply Charge
DEMANDS,Network Charges - Low-Season Demand
NETWORK_LINE_ITEMS,Network Charges - Network Peak - Low Season
OTHER_CHARGES,Adjustment/Credit - Credit Adj. for Wash-Up (est. charges Jul/Aug)
ENERGY_LINE_ITEMS,Electricity Charges - On Peak Charge
SERVICE_OTHER,TW CONTRAVENTION CHARGE
ENERGY_SERVICE,FIRE SERVICE CHARGE
SEWERAGE_LINE_ITEMS,SEWER VOLUME
ENERGY_LINE_ITEMS,WATER VOLUME
ENERGY_SERVICE,Fire Service - FIRE SERVICE CHARGE
SEWERAGE_LINE_ITEMS,Sewerage - SEWER VOLUME
SEWERAGE_SERVICE,Sewerage - SEWERAGE SERVICE CHARGE
ENERGY_LINE_ITEMS,Water Usage - WATER VOLUME
SERVICE_OTHER,TRADE WASTE CONTRAVENTION CHARGES TAXABLE
SEWERAGE_LINE_ITEMS,Sewer Volume - SEWER VOLUME
ENERGY_LINE_ITEMS,Water Volume - WATER VOLUME
SERVICE_OTHER,BACKFLOW ANNUAL TEST FEE
SEWERAGE_SERVICE,Network - Sewer
ENERGY_SERVICE,Network - Water
SERVICE_OTHER,"Other charges - Parks For the Dept. of Energy, Environment and Climate Action"
SERVICE_OTHER,Other charges - Waterways & Drainage For Melbourne Water
MARKET,MARKET CHARGES - R2 Market Charges - Aug 24
OTHER_CHARGES,MARKET CHARGES - UFE Charges - Apr 25
